"Website Name","Website ID","Publisher Commission (USD)","Sale Amount (USD)","Items","Sales","Leads","Clicks","Impressions","CTR","CR","CPM (USD)","EPC (USD)"
"FACEBOOK WebMeet - BG","7959193","2.700","0.000","9","0","9","62","0","0.0","0.145","0.000","4.355"
"FACEBOOK InitLAB","7960929","1.200","0.000","4","0","4","28","0","0.0","0.143","0.000","4.286"
"FACEBOOK, WEB Development","7955221","1.200","0.000","4","0","4","75","0","0.0","0.053","0.000","1.600"
"FACEBOOK MarketingWebMstr","7963295","0.900","0.000","3","0","3","22","0","0.0","0.136","0.000","4.091"
"FACEBOOK - HowToTchCmptng","7953379","0.900","0.000","3","0","3","164","0","0.0","0.018","0.000","0.549"
"Programming - Quick Start","7944520","0.600","0.000","2","0","2","130","680","0.191","0.015","0.882","0.462"
"FACEBOOK, DevBG gr TRIAL TechMkgt","7952647","0.300","0.000","1","0","1","164","0","0.0","0.006","0.000","0.183"
"FORUM TELERIK-ACAD","7955630","0.300","0.000","1","0","1","16","0","0.0","0.063","0.000","1.875"
"FACEBOOK Make MONEY OnLine","7959153","0.000","0.000","0","0","0","4","0","0.0","0.0","0.000","0.000"
"FB InternetMarketingGurus","7959187","0.000","0.000","0","0","0","9","0","0.0","0.0","0.000","0.000"
"PINTEREST HelpYourChildren","7959284","0.000","0.000","0","0","0","32","0","0.0","0.0","0.000","0.000"
"FACEBOOK - GamesInSchools","7960089","0.000","0.000","0","0","0","119","0","0.0","0.0","0.000","0.000"
"FACEBOOK TRIAL marketing only","7952624","0.000","0.000","0","0","0","138","0","0.0","0.0","0.000","0.000"
"PINTEREST KIDS Mkgt","7952722","0.000","0.000","0","0","0","40","0","0.0","0.0","0.000","0.000"
"FACEBOOK ProgrammingHlpGrp","7955614","0.000","0.000","0","0","0","15","0","0.0","0.0","0.000","0.000"
"FACEBOOK C/C++ PROGRAMMING","7955616","0.000","0.000","0","0","0","6","0","0.0","0.0","0.000","0.000"
"FB InetMrkt","7959190","0.000","0.000","0","0","0","9","0","0.0","0.0","0.000","0.000"
"FB MLM-NetMrkt","7959280","0.000","0.000","0","0","0","5","0","0.0","0.0","0.000","0.000"
"CPP-CLASSES-FOR-STUDENTS-BG","7961957","0.000","0.000","0","0","0","0","700","0.0","0.0","0.000","0.000"
"FACEBOOK - CREATIVE-CLS-ROOM","7953382","0.000","0.000","0","0","0","75","0","0.0","0.0","0.000","0.000"
"FACEBOOK - TET","7953392","0.000","0.000","0","0","0","88","0","0.0","0.0","0.000","0.000"
"FACEBOOK PROGRAMISTI","7955611","0.000","0.000","0","0","0","27","0","0.0","0.0","0.000","0.000"
"FACEBOOK FMI","7956023","0.000","0.000","0","0","0","225","0","0.0","0.0","0.000","0.000"
"PINTEREST TRIAL Tech marketing","7952623","0.000","0.000","0","0","0","808","6","134.667","0.0","0.000","0.000"
"PINTEREST AwesomeInterestingIncredible","7960818","0.000","0.000","0","0","0","24","0","0.0","0.0","0.000","0.000"
"FACEBOOK MarketLab","7957722","0.000","0.000","0","0","0","13","0","0.0","0.0","0.000","0.000"
"PINTEREST BEAUTY Trial MKGT","7952720","0.000","0.000","0","0","0","4","0","0.0","0.0","0.000","0.000"
"PINTEREST BestElectronicsNewsRev","7959481","0.000","0.000","0","0","0","7","0","0.0","0.0","0.000","0.000"
"PINTEREST PinChildBOOK","7960813","0.000","0.000","0","0","0","21","0","0.0","0.0","0.000","0.000"
"FACEBOOK PytonBG","7966422","0.000","0.000","0","0","0","14","0","0.0","0.0","0.000","0.000"
